agda/agda,https://github.com/agda/agda,Agda is a dependently typed programming language / interactive theorem prover.,Haskell,2019年4月10日 GMT+8 下午12:08
acemod/ACE3,https://github.com/acemod/ACE3,Open-source realism mod for Arma 3,C++,2019年4月10日 GMT+8 上午4:38
rlworkgroup/garage,https://github.com/rlworkgroup/garage,A framework for reproducible reinforcement learning research,Python,2019年4月10日 GMT+8 下午12:23
csound/csound,https://github.com/csound/csound,Main repository for Csound,C,2019年4月9日 GMT+8 下午3:46
open-webrtc-toolkit/owt-server,https://github.com/open-webrtc-toolkit/owt-server,General server (streaming/conference/transcoding/anayltics) for OWT. (A.k.a. MediaServer),JavaScript,2019年4月10日 GMT+8 上午9:31
dotnet/core-sdk,https://github.com/dotnet/core-sdk,.NET Core SDK Setup,C#,2019年4月10日 GMT+8 下午1:02
KratosMultiphysics/Kratos,https://github.com/KratosMultiphysics/Kratos,"Kratos Multiphysics (A.K.A Kratos) is a framework for building parallel multi-disciplinary simulation software. Modularity, extensibility and HPC are the main objectives. Kratos has BSD license and…",C++,2019年4月10日 GMT+8 上午3:02
monix/monix,https://github.com/monix/monix,"Asynchronous, Reactive Programming for Scala and Scala.js.",Scala,2019年4月8日 GMT+8 下午9:32
ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,A completely customizable framework for building rich text editors.,JavaScript,2019年4月10日 GMT+8 上午12:37
mapbox/mapbox-gl-native,https://github.com/mapbox/mapbox-gl-native,"Interactive, thoroughly customizable maps in native Android, iOS, macOS, Node.js, and Qt applications, powered by vector tiles and OpenGL",C++,2019年4月10日 GMT+8 上午11:48
google/filament,https://github.com/google/filament,"Filament is a real-time physically based rendering engine for Android, iOS, Windows, Linux, macOS and WASM/WebGL",C++,2019年4月10日 GMT+8 上午11:53
scorelab/senz,https://github.com/scorelab/senz,"SenZ is a new kind of query language that can be used to communicate with IoT devices. It is easily integrable, incredibly fast, and is in the highest end of security integration.",Scala,2019年4月10日 GMT+8 上午12:33
mne-tools/mne-python,https://github.com/mne-tools/mne-python,MNE : Magnetoencephalography (MEG) and Electroencephalography (EEG) in Python,Python,2019年4月10日 GMT+8 下午1:34
video-dev/hls.js,https://github.com/video-dev/hls.js,JavaScript HLS client using Media Source Extension,JavaScript,2019年4月9日 GMT+8 上午4:01
scalaz/scalaz-zio,https://github.com/scalaz/scalaz-zio,"ZIO — A type-safe, composable library for asynchronous and concurrent programming in Scala",Scala,2019年4月10日 GMT+8 上午4:10
tomkerkhove/promitor,https://github.com/tomkerkhove/promitor,Azure Monitor scraper for Prometheus,C#,2019年4月10日 GMT+8 下午1:20
rakudo/rakudo,https://github.com/rakudo/rakudo,🦋 Rakudo Perl 6 – Perl 6 on MoarVM and the JVM,Perl 6,2019年4月10日 GMT+8 上午7:39
matomo-org/matomo,https://github.com/matomo-org/matomo,Liberating Web Analytics. Star us on Github? +1. Matomo is the leading open alternative to Google Analytics that gives you full control over your data. Matomo lets you easily collect data from webs…,PHP,2019年4月10日 GMT+8 上午11:29
assimp/assimp,https://github.com/assimp/assimp,Official Open Asset Import Library Repository. Loads 40+ 3D file formats into one unified and clean data structure.,C++,2019年4月9日 GMT+8 下午11:45
dotnet/docs,https://github.com/dotnet/docs,This repository contains .NET Documentation.,PowerShell,2019年4月10日 GMT+8 上午11:01
broadinstitute/cromwell,https://github.com/broadinstitute/cromwell,Scientific workflow engine designed for simplicity & scalability. Trivially transition between one off use cases to massive scale production environments,Scala,2019年4月10日 GMT+8 上午7:29
Microsoft/MixedRealityToolkit-Unity,https://github.com/Microsoft/MixedRealityToolkit-Unity,MixedRealityToolkit-Unity uses code from the base MixedRealityToolkit repository and makes it easier to consume in Unity.,C#,2019年4月10日 GMT+8 下午12:30
Beep6581/RawTherapee,https://github.com/Beep6581/RawTherapee,A powerful cross-platform raw photo processing program,C++,2019年4月10日 GMT+8 上午5:08
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,"Build blazing fast, modern apps and websites with React",JavaScript,2019年4月10日 GMT+8 上午8:51
python-gsoc/python-blogs,https://github.com/python-gsoc/python-blogs,Python Software Foundation GSoC Blog Platform,JavaScript,2019年4月10日 GMT+8 上午8:37
fitzgen/dodrio,https://github.com/fitzgen/dodrio,"A fast, bump-allocated virtual DOM library for Rust and WebAssembly.",Rust,2019年4月9日 GMT+8 上午8:51
reasonml/reason-react,https://github.com/reasonml/reason-react,Reason bindings for ReactJS,OCaml,2019年4月10日 GMT+8 上午12:47
discordjs/discord.js,https://github.com/discordjs/discord.js,A powerful JavaScript library for interacting with the Discord API,JavaScript,2019年4月10日 GMT+8 上午6:13
flang-compiler/f18,https://github.com/flang-compiler/f18,F18 is a front-end for Fortran intended to replace the existing front-end in the Flang compiler,C++,2019年4月10日 GMT+8 上午9:34
Azure/MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,Python notebooks with ML and deep learning examples on Azure Machine Learning | Microsoft,Jupyter Notebook,2019年4月10日 GMT+8 上午4:21
bazelbuild/rules_jvm_external,https://github.com/bazelbuild/rules_jvm_external,Rules to resolve and fetch artifacts transitively from Maven repositories,Python,2019年4月9日 GMT+8 上午10:50
TrinityCore/TrinityCore,https://github.com/TrinityCore/TrinityCore,"TrinityCore Open Source MMO Framework (master = 8.0.1.28153, 3.3.5 = 3.3.5a.12340)",C++,2019年4月10日 GMT+8 上午5:59
allenai/allennlp,https://github.com/allenai/allennlp,"An open-source NLP research library, built on PyTorch.",Python,2019年4月10日 GMT+8 上午11:13
tensorflow/cleverhans,https://github.com/tensorflow/cleverhans,"An adversarial example library for constructing attacks, building defenses, and benchmarking both",Python,2019年4月10日 GMT+8 下午12:26
jimkyndemeyer/js-graphql-intellij-plugin,https://github.com/jimkyndemeyer/js-graphql-intellij-plugin,"GraphQL language support for WebStorm, IntelliJ IDEA and other IDEs based on the IntelliJ Platform.",Java,2019年4月7日 GMT+8 下午3:31
termux/termux-packages,https://github.com/termux/termux-packages,Android terminal and Linux environment - packages repository.,Shell,2019年4月10日 GMT+8 下午12:02
babel/babel,https://github.com/babel/babel,🐠 Babel is a compiler for writing next generation JavaScript.,JavaScript,2019年4月10日 GMT+8 上午9:45
emberjs/ember.js,https://github.com/emberjs/ember.js,Ember.js - A JavaScript framework for creating ambitious web applications,JavaScript,2019年4月10日 GMT+8 上午7:26
Microsoft/visualfsharp,https://github.com/Microsoft/visualfsharp,"The F# compiler, FSharp.Core library, and tools for F#",F#,2019年4月10日 GMT+8 下午12:26
checkstyle/checkstyle,https://github.com/checkstyle/checkstyle,"Checkstyle is a development tool to help programmers write Java code that adheres to a coding standard. By default it supports the Google Java Style Guide and Sun Code Conventions, but is highly co…",Java,2019年4月10日 GMT+8 上午3:11
kubernetes/perf-tests,https://github.com/kubernetes/perf-tests,Performance tests and benchmarks,Go,2019年4月10日 GMT+8 上午4:49
PCSX2/pcsx2,https://github.com/PCSX2/pcsx2,PCSX2 - The Playstation 2 Emulator,C++,2019年4月10日 GMT+8 上午10:06
NervJS/taro,https://github.com/NervJS/taro,多端统一开发框架，支持用 React 的开发方式编写一次代码，生成能运行在微信/百度/支付宝/字节跳动小程序、H5、React Native 等的应用。 https://taro.js.org/,JavaScript,2019年4月10日 GMT+8 上午10:53
